EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years
645,Active,30,Female,Technical degree (FP),10 Aug 2020,,,,22 May 2021,Engineering,Conversations,246,34400,EUR,New hire,N,E2,No,"9 months, 18 days",0
670,Active,28,Male,Undergraduate degree (Grado),05 Oct 2020,,,,15 Apr 2021,Finance & Legal,Finance,272,34400,EUR,New hire,N,E3,No,"7 months, 23 days",0
173,Active,33,Female,Master/Postgraduate,13 May 2019,,,,15 Apr 2021,Customer Success,Community & Learning,312,34560,EUR,Merit increase,N,E2,No,"2 years, 15 days",2
370,Inactive,34,Male,Unknown,08 Jan 2018,28 Jun 2019,Involuntary,Low Performance,08 Jan 2018,Engineering,Core,228,34650,EUR,,Y,,No,"1 year, 5 months, 20 days",1
165,Active,38,Female,Undergraduate degree (Grado),25 Jan 2016,,,,15 Apr 2021,Customer Success,Customer Support,266,34778,EUR,Merit increase,Y,M1,Yes,"5 years, 4 months, 3 days",5
465,Inactive,33,Male,Unknown,01 Jul 2015,31 Mar 2017,Voluntary,Other employment,01 Jul 2015,Engineering,Development,,34800,EUR,,Y,,No,"1 year, 8 months, 30 days",1
341,Inactive,33,Male,Master/Postgraduate,28 May 2018,03 Oct 2019,Voluntary,No details given,28 May 2018,Data & Analytics,Data Operations,292,35120,EUR,,Y,L2,No,"1 year, 4 months, 6 days",1
494,Inactive,31,Female,Undergraduate degree (Grado),01 Dec 2014,17 Jun 2018,Voluntary,Unhappy with the manager,01 Jan 2018,People,,,35200,EUR,,Y,,No,"3 years, 6 months, 16 days",3
129,Inactive,30,Male,Unknown,14 Mar 2016,17 Mar 2019,Voluntary,Sabbatical leave,21 Mar 2017,Engineering,Development,,35200,EUR,Promotion,Y,L2,No,"3 years, 3 days",3
212,Inactive,43,Female,Master/Postgraduate,22 Jul 2019,25 Sep 2020,Voluntary,Lack of strategy / direction,01 Sep 2020,People & Home,People Talent,146,35200,EUR,Promotion,N,E3,No,"1 year, 2 months, 3 days",1
258,Active,32,Female,Master/Postgraduate,19 Aug 2019,,,,15 Apr 2021,People & Home,People Experience,305,35200,EUR,Merit increase,Y,E2,No,"1 year, 9 months, 9 days",1
599,Active,28,Female,Master/Postgraduate,02 Jun 2020,,,,15 Apr 2021,Engineering,Funnel Health,556,35200,EUR,New hire,N,E2,No,"11 months, 26 days",0
708,Active,29,Male,Master/Postgraduate,25 Jan 2021,,,,15 Apr 2021,Customer Success,Community & Learning,312,35200,EUR,New hire,N,E3,No,"4 months, 3 days",0
452,Inactive,29,Male,Unknown,29 Feb 2016,29 Dec 2017,Voluntary,Other employment,29 Feb 2016,Engineering,Development,,35520,EUR,,Y,,No,"1 year, 10 months, 0 days",1
312,Active,43,Male,Undergraduate degree (Grado),09 May 2016,,,,15 Apr 2021,Customer Success,Community & Learning,220,35708,EUR,Merit increase,Y,E3,Yes,"5 years, 19 days",5
399,Inactive,31,Male,Unknown,15 Feb 2016,29 Sep 2017,Voluntary,Personal reasons,15 Feb 2016,Product,,,36000,EUR,,Y,,No,"1 year, 7 months, 14 days",1
350,Inactive,34,Female,Unknown,14 Sep 2015,17 Jul 2019,Involuntary,Low Performance,01 Sep 2018,People,,276,36000,EUR,,Y,M1,No,"3 years, 10 months, 3 days",3
476,Inactive,36,Male,Unknown,09 May 2016,03 Mar 2017,Involuntary,Low Performance,09 May 2016,Engineering,Development,,36000,EUR,New hire,Y,,No,"9 months, 25 days",0
445,Inactive,30,Male,Unknown,23 May 2016,30 Dec 2018,Voluntary,Personal reasons,23 May 2016,Engineering,Development,,36000,EUR,,Y,L2,No,"2 years, 7 months, 7 days",2
422,Inactive,39,Male,Unknown,27 Jun 2016,15 Sep 2017,Voluntary,No details given,27 Jun 2016,Product,,,36000,EUR,,Y,,No,"1 year, 2 months, 18 days",1
389,Inactive,42,Male,Master/Postgraduate,06 Nov 2017,29 Dec 2017,Voluntary,Other employment,06 Nov 2017,Product,,,36000,EUR,,N,,No,"1 month, 23 days",0
287,Active,27,Female,Technical degree (FP),14 May 2018,,,,29 Apr 2021,Marketing,Marketing Ops,725,36000,EUR,Lateral move,Y,E2,No,"3 years, 14 days",3
237,Inactive,27,Male,Undergraduate degree (Grado),22 Jul 2019,31 Jan 2021,Voluntary,Ready for the next challenge,01 Jan 2021,Engineering,Ecosystems,236,36000,EUR,Promotion,Y,E2,No,"1 year, 6 months, 9 days",1
565,Active,29,Male,Undergraduate degree (Grado),09 Mar 2020,,,,15 Apr 2021,Security,Security,507,36000,EUR,New hire,N,E2,No,"1 year, 2 months, 19 days",1
602,Active,28,Not Specified,Master/Postgraduate,18 May 2020,,,,15 Apr 2021,People & Home,People Operations,1,36000,EUR,Market adjustment,N,E3,No,"1 year, 10 days",1
610,Active,28,Male,High-school (Bachillerato),02 Jun 2020,,,,15 Apr 2021,Engineering,Funnel Health,556,36000,EUR,Contract change,N,E2,No,"11 months, 26 days",0
655,Active,24,Male,Undergraduate degree (Grado),10 Aug 2020,,,,15 Apr 2021,Engineering,Teams & Enterprise,638,36000,EUR,New hire,N,E2,No,"9 months, 18 days",0
434,Inactive,30,Male,Unknown,17 Jul 2017,31 Jan 2019,Involuntary,Low Performance,17 Jul 2017,Design,Product Design,,36160,EUR,,Y,L2,No,"1 year, 6 months, 14 days",1
244,Inactive,28,Female,Undergraduate degree (Grado),17 May 2016,05 Apr 2021,Voluntary,Limited career opportunities,01 Jan 2021,Engineering,Conversations,509,36252,EUR,Merit increase,Y,E2,No,"4 years, 10 months, 19 days",4
160,Active,37,Female,Master/Postgraduate,29 Feb 2016,,,,15 Apr 2021,Engineering,Platform,319,36480,EUR,Merit increase,Y,E2,No,"5 years, 2 months, 28 days",5
295,Active,43,Male,Undergraduate degree (Grado),28 Aug 2017,,,,15 Apr 2021,Customer Success,Community & Learning,558,36624,EUR,Merit increase,Y,E3,No,"3 years, 9 months, 0 days",3
325,Inactive,37,Male,Unknown,12 Sep 2016,30 Nov 2019,Involuntary,Low Performance,01 Nov 2017,Business Development,Sales,196,36800,EUR,,Y,M1,No,"3 years, 2 months, 18 days",3
424,Inactive,33,Male,Unknown,10 Oct 2016,26 Apr 2019,Voluntary,Other employment,01 Mar 2018,Design,Product Design,,36800,EUR,,Y,L2,No,"2 years, 6 months, 16 days",2
334,Inactive,29,Male,Unknown,02 Jan 2017,10 Oct 2019,Voluntary,No details given,17 Jun 2019,Engineering,Core,240,36800,EUR,,Y,L2,No,"2 years, 9 months, 8 days",2
421,Inactive,28,Male,Unknown,13 Mar 2017,04 Nov 2018,Voluntary,Personal reasons,13 Mar 2017,Product,,,36800,EUR,,Y,L2,No,"1 year, 7 months, 22 days",1
501,Active,35,Male,Master/Postgraduate,13 Jan 2020,,,,15 Apr 2021,Engineering,Funnel Health,556,36800,EUR,New hire,N,E2,No,"1 year, 4 months, 15 days",1
571,Active,28,Male,High-school (Bachillerato),09 Mar 2020,,,,15 Apr 2021,Engineering,Conversations,542,36800,EUR,New hire,N,E2,No,"1 year, 2 months, 19 days",1
656,Active,31,Female,Master/Postgraduate,10 Aug 2020,,,,15 Apr 2021,Marketing,Content,223,36800,EUR,New hire,N,E2,No,"9 months, 18 days",0
660,Active,44,Female,Undergraduate degree (Grado),07 Sep 2020,,,,15 Apr 2021,People & Home,Home,305,36800,EUR,Reduce/Increase Working hours,N,M1,Yes,"8 months, 21 days",0
706,Active,32,Male,Master/Postgraduate,08 Feb 2021,,,,15 Apr 2021,Engineering,Funnel Health,556,36800,EUR,New hire,N,E2,No,"3 months, 20 days",0
193,Active,38,Female,Master/Postgraduate,13 Aug 2013,,,,01 Sep 2020,Customer Success,Project Management,220,36960,EUR,Merit increase,Y,E2,No,"7 years, 9 months, 15 days",7
472,Inactive,35,Male,Unknown,27 May 2015,29 Mar 2018,Voluntary,Other employment,27 May 2015,Engineering,Development,,36960,EUR,,Y,,No,"2 years, 10 months, 2 days",2
446,Inactive,40,Male,Unknown,05 Sep 2016,17 Oct 2018,Voluntary,Other employment,09 Apr 2018,Engineering,Development,,37200,EUR,,Y,L2,No,"2 years, 1 month, 12 days",2
255,Inactive,32,Male,Unknown,05 Dec 2016,10 Aug 2020,Voluntary,,06 Feb 2020,Marketing,SEO,544,37488,EUR,Merit increase,Y,E2,No,"3 years, 8 months, 5 days",3
368,Inactive,37,Male,Unknown,21 Mar 2016,30 Jun 2019,Voluntary,Ready for the next challenge,01 Apr 2019,People,,305,37600,EUR,,Y,L3,No,"3 years, 3 months, 9 days",3
393,Inactive,33,Male,Master/Postgraduate,31 Oct 2016,29 Mar 2019,Voluntary,Limited career opportunities,31 Oct 2016,Product,,229,37600,EUR,,Y,L2,No,"2 years, 4 months, 29 days",2
407,Inactive,33,Male,Unknown,14 Feb 2017,27 Apr 2018,Voluntary,No details given,14 Feb 2017,Engineering,Development,,37600,EUR,,Y,,No,"1 year, 2 months, 13 days",1
260,Active,28,Female,Master/Postgraduate,27 May 2019,,,,15 Apr 2021,Strategy,Strategy,148,37600,EUR,Promotion,Y,E3,No,"2 years, 1 day",2
159,Active,28,Female,Undergraduate degree (Grado),04 Nov 2019,,,,15 Apr 2021,Finance & Legal,Finance,692,37600,EUR,Merit increase,N,E3,No,"1 year, 6 months, 24 days",1
618,Active,35,Male,Master/Postgraduate,02 Jun 2020,,,,15 Apr 2021,Engineering,Funnel Health,264,37600,EUR,New hire,N,E2,No,"11 months, 26 days",0
630,Inactive,33,Male,Undergraduate degree (Grado),01 Jul 2020,31 Dec 2020,Voluntary,Personal reasons,01 Sep 2020,Engineering,Funnel Health,556,37600,EUR,Contract change,N,E2,No,"5 months, 30 days",0
691,Active,27,Female,High-school (Bachillerato),01 Dec 2020,,,,01 Dec 2020,Customer Success,Customer Support,133,37600,USD,New hire,N,E2,No,"5 months, 27 days",0
318,Inactive,34,Female,PhD,08 Jul 2019,06 Apr 2021,Voluntary,Unhappy with the salary / perks,01 Jan 2021,Engineering,Conversations,509,37680,EUR,Merit increase,N,E2,No,"1 year, 8 months, 29 days",1
415,Inactive,36,Male,Master/Postgraduate,08 Jun 2015,28 Feb 2019,Voluntary,Personal reasons,08 Jun 2015,Engineering,Development,,37800,EUR,,Y,L2,No,"3 years, 8 months, 20 days",3
380,Inactive,29,Male,Unknown,18 Apr 2016,26 May 2019,Voluntary,Limited career opportunities,18 Apr 2016,Engineering,,,38000,EUR,,Y,L2,No,"3 years, 1 month, 8 days",3
739,Active,41,Female,PhD,19 Apr 2021,,,,19 Apr 2021,Data & Analytics,Insights Enablers,283,38080,EUR,New hire,N,E2,No,"1 month, 9 days",0
226,Active,29,Female,Master/Postgraduate,16 Sep 2019,,,,15 Apr 2021,Data & Analytics,Insights Enablers,283,38160,EUR,Merit increase,N,E2,No,"1 year, 8 months, 12 days",1
166,Active,26,Male,Undergraduate degree (Grado),28 Oct 2019,,,,15 Apr 2021,Engineering,Ecosystems,236,38160,EUR,Reduce/Increase Working hours,N,E2,No,"1 year, 7 months, 0 days",1
365,Inactive,28,Male,Undergraduate degree (Grado),28 May 2018,30 Aug 2019,Voluntary,No details given,28 May 2018,Data & Analytics,Marketing Insights,248,38240,EUR,,Y,L2,No,"1 year, 3 months, 2 days",1
197,Inactive,30,Male,Unknown,29 Feb 2016,11 Dec 2019,Involuntary,Low Performance,17 Jun 2019,Engineering,Core,240,38400,EUR,Merit increase,Y,L2,No,"3 years, 9 months, 11 days",3
140,Inactive,31,Female,Master/Postgraduate,23 Oct 2017,22 Apr 2021,Voluntary,Lack of strategy / direction,01 Sep 2020,Business Development,Reseller,623,38400,EUR,Promotion,Y,E3,No,"3 years, 5 months, 30 days",3
137,Active,31,Female,Undergraduate degree (Grado),25 Jun 2018,,,,15 Apr 2021,Marketing,Brand Marketing,223,38400,EUR,Promotion,Y,E3,No,"2 years, 11 months, 3 days",2
642,Active,31,Male,Master/Postgraduate,27 Jul 2020,,,,15 Apr 2021,Engineering,Funnel Health,264,38400,EUR,New hire,N,E2,No,"10 months, 1 day",0
671,Active,34,Male,Undergraduate degree (Grado),19 Oct 2020,,,,15 Apr 2021,Engineering,Quality,164,38400,EUR,New hire,N,E2,No,"7 months, 9 days",0
672,Active,26,Male,Undergraduate degree (Grado),26 Oct 2020,,,,15 Apr 2021,Engineering,Funnel Health,264,38400,EUR,New hire,N,E2,No,"7 months, 2 days",0
194,Inactive,34,Male,Unknown,12 Sep 2016,13 Dec 2019,Voluntary,Sabbatical leave,01 Sep 2018,Design,Creative Design,190,38520,EUR,,Y,L3,No,"3 years, 3 months, 1 day",3
498,Inactive,29,Male,Unknown,06 Jun 2016,28 Feb 2019,Voluntary,Lack of strategy / direction,06 Jun 2016,Engineering,,,38800,EUR,,Y,L2,No,"2 years, 8 months, 22 days",2
200,Inactive,32,Male,Unknown,01 Aug 2016,16 Dec 2019,Voluntary,Other employment,17 Jun 2019,Engineering,Core,236,38800,EUR,Merit increase,Y,L1,No,"3 years, 4 months, 15 days",3
442,Inactive,28,Male,Unknown,02 Jun 2015,22 Feb 2019,Voluntary,Ready for the next challenge,01 Mar 2017,Marketing,SEO,,39200,EUR,,Y,M1,No,"3 years, 8 months, 20 days",3
346,Inactive,42,Male,Unknown,03 Jul 2017,25 Sep 2019,Voluntary,Unhappy with the job,17 Jun 2019,Engineering,Infrastructure,270,39200,EUR,,Y,L3,No,"2 years, 2 months, 22 days",2
327,Inactive,34,Female,Undergraduate degree (Grado),14 May 2018,13 Nov 2019,Involuntary,Low Performance,17 Jun 2019,Engineering,Platform,245,39200,EUR,,Y,M1,No,"1 year, 5 months, 30 days",1
541,Inactive,46,Not Specified,Master/Postgraduate,10 Feb 2020,21 Sep 2020,Involuntary,Low Performance,01 Sep 2020,Customer Success,Customer Support,133,39200,USD,New hire,N,E2,No,"7 months, 11 days",0
626,Active,40,Male,Master/Postgraduate,15 Jun 2020,,,,01 Sep 2020,Customer Success,Customer Support,133,39200,USD,New hire,N,E2,No,"11 months, 13 days",0
636,Active,32,Female,Undergraduate degree (Grado),01 Jul 2020,,,,01 Sep 2020,Customer Success,Customer Support,133,39200,USD,New hire,N,E2,No,"10 months, 27 days",0
690,Active,33,Male,Technical degree (FP),01 Dec 2020,,,,01 Dec 2020,Customer Success,Customer Support,133,39200,USD,New hire,N,E2,No,"5 months, 27 days",0
715,Active,27,Female,Undergraduate degree (Grado),08 Feb 2021,,,,08 Feb 2021,Customer Success,Customer Support,133,39200,USD,New hire,N,E2,No,"3 months, 20 days",0
743,Active,32,Male,Undergraduate degree (Grado),06 Apr 2021,,,,15 Apr 2021,Customer Success,Customer Support,165,39200,USD,New hire,N,E2,No,"1 month, 22 days",0
740,Active,27,Female,Technical degree (FP),06 Apr 2021,,,,15 Apr 2021,Customer Success,Customer Support,165,39200,USD,New hire,N,E2,No,"1 month, 22 days",0
242,Inactive,32,Female,Undergraduate degree (Grado),18 Dec 2017,31 Jan 2021,Voluntary,Sabbatical leave,01 Jan 2021,Engineering,Conversations,509,39359,EUR,Merit increase,Y,E2,No,"3 years, 1 month, 13 days",3
340,Inactive,31,Female,Unknown,15 May 2017,03 Oct 2019,Voluntary,No details given,17 Jun 2019,Engineering,Core,236,39480,EUR,,Y,L2,No,"2 years, 4 months, 19 days",2
259,Active,30,Male,Undergraduate degree (Grado),27 May 2019,,,,15 Apr 2021,Engineering,Funnel Health,264,39600,EUR,Merit increase,N,E2,No,"2 years, 1 day",2
388,Inactive,31,Female,Unknown,11 Jul 2016,12 Sep 2018,Voluntary,Other employment,11 Jul 2016,Engineering,Development,,39800,EUR,,Y,L2,No,"2 years, 2 months, 1 day",2
466,Inactive,34,Male,Unknown,24 Apr 2017,26 Sep 2018,Voluntary,Personal reasons,24 Apr 2017,Engineering,Development,,39800,EUR,,Y,L2,No,"1 year, 5 months, 2 days",1
420,Inactive,42,Female,Unknown,19 Jan 2015,31 Dec 2018,Voluntary,Sabbatical leave,01 Apr 2018,Customer Success,Customer Education,,40000,EUR,,Y,M2,No,"3 years, 11 months, 12 days",3
378,Inactive,31,Female,Unknown,29 Jun 2015,31 May 2019,Voluntary,Unhappy with the leadership,01 Sep 2018,People,,305,40000,EUR,,Y,M1,No,"3 years, 11 months, 2 days",3
396,Inactive,37,Male,Unknown,02 May 2016,31 Oct 2017,Voluntary,Other employment,02 May 2016,Engineering,Development,,40000,EUR,,Y,,No,"1 year, 5 months, 29 days",1
313,Inactive,31,Male,Unknown,12 Jul 2016,21 Jan 2020,Voluntary,Other employment,12 Jul 2016,Data & Analytics,Customer Insights,247,40000,EUR,,Y,L2,No,"3 years, 9 months, 20 days",3
417,Inactive,35,Female,Unknown,12 Sep 2016,30 May 2017,Involuntary,Low Performance,12 Sep 2016,Customer Success,Sales,,40000,EUR,,Y,,No,"8 months, 18 days",0
437,Inactive,39,Male,Unknown,07 Nov 2016,18 Jan 2019,Involuntary,Low Performance,07 Nov 2016,Design,Product Design,,40000,EUR,,Y,L3,No,"2 years, 2 months, 11 days",2
474,Inactive,36,Male,Unknown,14 Nov 2016,30 Dec 2016,Voluntary,Other employment,14 Nov 2016,Engineering,Development,,40000,EUR,New hire,N,,No,"1 month, 16 days",0
296,Inactive,44,Female,Master/Postgraduate,03 Apr 2017,16 Dec 2019,Involuntary,Low Performance,08 Jan 2019,People,People Experience,276,40000,EUR,Temporary Assignment,Y,L3,No,"2 years, 8 months, 13 days",2
450,Inactive,33,Male,Master/Postgraduate,09 Oct 2017,28 Feb 2019,Voluntary,Unhappy with the leadership,09 Oct 2017,Finance,,227,40000,EUR,,Y,M1,No,"1 year, 4 months, 19 days",1
328,Inactive,28,Male,Undergraduate degree (Grado),05 Feb 2018,08 Nov 2019,Involuntary,Role no longer needed,01 Mar 2019,Product,,229,40000,EUR,,Y,L2,No,"1 year, 9 months, 3 days",1
404,Inactive,36,Male,Unknown,14 May 2018,28 Oct 2018,Voluntary,Other employment,14 May 2018,Engineering,Infrastructure,,40000,EUR,New hire,Y,L3,No,"5 months, 14 days",0
307,Inactive,33,Male,Undergraduate degree (Grado),22 Jul 2019,30 Jun 2020,Voluntary,Unhappy with the job,31 Jan 2020,Engineering,Security,507,40000,EUR,New hire,N,E2,No,"11 months, 8 days",0
308,Active,34,Male,Master/Postgraduate,22 Jul 2019,,,,15 Apr 2021,Marketing,Content,223,40000,EUR,Promotion,Y,E3,No,"1 year, 10 months, 6 days",1
529,Active,29,Male,Master/Postgraduate,09 Dec 2019,,,,15 Apr 2021,Data & Analytics,Insights Enablers,283,40000,EUR,,N,E2,No,"1 year, 5 months, 19 days",1
555,Active,28,Male,Undergraduate degree (Grado),24 Feb 2020,,,,15 Apr 2021,Engineering,Ecosystems,236,40000,EUR,New hire,Y,E2,No,"1 year, 3 months, 4 days",1
563,Active,40,Male,Undergraduate degree (Grado),09 Mar 2020,,,,15 Apr 2021,Engineering,Corporate,267,40000,EUR,New hire,N,E3,No,"1 year, 2 months, 19 days",1
566,Active,34,Male,Master/Postgraduate,09 Mar 2020,,,,15 Apr 2021,Engineering,Teams & Enterprise,638,40000,EUR,New hire,N,E2,No,"1 year, 2 months, 19 days",1
607,Active,25,Male,Master/Postgraduate,30 Mar 2020,,,,15 Apr 2021,Engineering,Insights,240,40000,EUR,Contract change,N,E2,No,"1 year, 1 month, 29 days",1
601,Active,35,Male,Master/Postgraduate,23 Apr 2020,,,,15 Apr 2021,Engineering,Ecosystems,635,40000,EUR,Contract change,N,E3,No,"1 year, 1 month, 5 days",1
614,Active,37,Female,Master/Postgraduate,18 May 2020,,,,15 Apr 2021,Design,Creative Design,504,40000,EUR,New hire,N,E3,Yes,"1 year, 10 days",1
640,Active,33,Female,Master/Postgraduate,27 Jul 2020,,,,15 Apr 2021,Data & Analytics,Data Platform,147,40000,EUR,New hire,N,E2,No,"10 months, 1 day",0
659,Active,37,Male,Master/Postgraduate,07 Sep 2020,,,,15 Apr 2021,Engineering,Platform,521,40000,EUR,New hire,N,E3,No,"8 months, 21 days",0
694,Active,30,Male,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Engineering,R&D,727,40000,EUR,New hire,N,E2,No,"4 months, 17 days",0
707,Active,36,Male,Undergraduate degree (Grado),08 Feb 2021,,,,15 Apr 2021,Data & Analytics,Machine Learning,181,40000,EUR,New hire,N,E2,No,"3 months, 20 days",0
754,Active,29,Female,Master/Postgraduate,19 Apr 2021,,,,19 Apr 2021,Data & Analytics,Customer Insights,151,40000,EUR,New hire,N,E2,No,"1 month, 9 days",0
134,Inactive,31,Male,Unknown,18 Apr 2016,30 Apr 2020,Voluntary,Ready for the next challenge,01 Sep 2019,Customer Success,Customer Support,133,40059,USD,Reclassification to Non Exempt,Y,E2,No,"4 years, 12 days",4
394,Inactive,33,Male,Unknown,07 Mar 2016,11 Feb 2019,Voluntary,Ready for the next challenge,01 Sep 2017,Data & Analytics,,,40140,EUR,,Y,L4,No,"2 years, 11 months, 4 days",2
205,Active,31,Female,Master/Postgraduate,04 Mar 2019,,,,25 May 2021,Marketing,Product Marketing,760,40320,EUR,Promotion,Y,E3,No,"2 years, 2 months, 24 days",2
516,Active,31,Female,Unknown,13 Jan 2020,,,,01 Sep 2020,Customer Success,Customer Support,133,40376,USD,Merit increase,N,E2,No,"1 year, 4 months, 15 days",1
470,Inactive,37,Female,Unknown,24 Nov 2014,13 Oct 2017,Voluntary,Other employment,24 Nov 2014,Engineering,,,40800,EUR,,Y,,No,"2 years, 10 months, 19 days",2
126,Active,37,Male,Undergraduate degree (Grado),25 Nov 2019,,,,15 Apr 2021,Engineering,Corporate,267,40800,EUR,,N,E3,No,"1 year, 6 months, 3 days",1
317,Active,38,Male,Master/Postgraduate,07 Mar 2016,,,,15 Apr 2021,Finance & Legal,Finance,272,41200,EUR,Promotion,Y,E4,No,"5 years, 2 months, 21 days",5
274,Active,43,Male,Undergraduate degree (Grado),04 Feb 2019,,,,15 Apr 2021,Engineering,Corporate,267,41200,EUR,Merit increase,N,E3,No,"2 years, 3 months, 24 days",2
232,Inactive,34,Male,Unknown,13 May 2015,06 Dec 2019,Voluntary,Ready for the next challenge,17 Jun 2019,Engineering,Platform,245,41600,EUR,Promotion,Y,L3,No,"4 years, 6 months, 24 days",4
406,Inactive,40,Male,Unknown,11 Jan 2016,27 Apr 2018,Voluntary,Personal reasons,11 Jan 2016,Engineering,Development,,41600,EUR,,Y,,No,"2 years, 3 months, 16 days",2
367,Inactive,32,Female,Master/Postgraduate,21 Jun 2016,12 Jul 2019,Involuntary,Low Performance,01 Jan 2019,Home,,276,41600,EUR,,Y,L5,No,"3 years, 21 days",3
297,Inactive,32,Male,Unknown,10 Apr 2017,26 Mar 2020,Voluntary,Unhappy with the salary / perks,10 Jan 2020,Engineering,Infrastructure,319,41600,EUR,Merit increase,Y,E3,No,"2 years, 11 months, 16 days",2
218,Inactive,30,Male,Unknown,09 Jul 2018,24 Jan 2020,Voluntary,Personal reasons,17 Jun 2019,Engineering,Core,246,41600,EUR,,Y,E3,No,"1 year, 6 months, 15 days",1
191,Inactive,29,Male,Technical degree (FP),03 Sep 2018,23 Jan 2020,Voluntary,Limited career opportunities,01 Mar 2019,Engineering,Security,228,41600,EUR,Merit increase,Y,E2,No,"1 year, 4 months, 20 days",1
174,Active,33,Male,Master/Postgraduate,18 Mar 2019,,,,15 Apr 2021,Design,Product Design,168,41600,EUR,Promotion,Y,E3,No,"2 years, 2 months, 10 days",2
309,Active,35,Female,Master/Postgraduate,25 Jun 2019,,,,15 Apr 2021,Engineering,Funnel Health,264,41600,EUR,Merit increase,Y,E2,Yes,"1 year, 11 months, 3 days",1
167,Active,32,Female,Master/Postgraduate,28 Oct 2019,,,,15 Apr 2021,Customer Success,Customer Engagement,725,41600,EUR,Merit increase,N,E2,No,"1 year, 7 months, 0 days",1
124,Active,32,Male,Unknown,25 Nov 2019,,,,01 Sep 2020,Customer Success,Customer Support,133,41600,USD,Merit increase,N,E2,No,"1 year, 6 months, 3 days",1
517,Active,34,Female,Unknown,13 Jan 2020,,,,01 Mar 2021,Customer Success,Customer Support,133,41600,USD,Lateral move,N,E2,No,"1 year, 4 months, 15 days",1
598,Active,38,Female,Master/Postgraduate,04 May 2020,,,,15 Apr 2021,Marketing,Content,223,41600,EUR,Transfer,N,E3,No,"1 year, 24 days",1
617,Active,29,Male,Master/Postgraduate,18 May 2020,,,,15 Apr 2021,Engineering,Funnel Health,309,41600,EUR,New hire,N,E2,No,"1 year, 10 days",1
609,Active,30,Male,High-school (Bachillerato),15 Jun 2020,,,,15 Apr 2021,Engineering,Funnel Health,309,41600,EUR,New hire,N,E2,No,"11 months, 13 days",0
637,Active,36,Male,Master/Postgraduate,01 Jul 2020,,,,15 Apr 2021,Engineering,R&D,664,41600,EUR,New hire,N,E3,No,"10 months, 27 days",0
647,Active,41,Male,PhD,10 Aug 2020,,,,15 Apr 2021,Design,Creative Design,504,41600,EUR,New hire,N,E3,No,"9 months, 18 days",0
644,Active,42,Female,Undergraduate degree (Grado),10 Aug 2020,,,,15 Apr 2021,Marketing,Content,223,41600,EUR,New hire,N,E3,No,"9 months, 18 days",0
652,Active,31,Male,Master/Postgraduate,24 Aug 2020,,,,22 May 2021,Engineering,Conversations,246,41600,EUR,New hire,N,E2,No,"9 months, 4 days",0
703,Active,32,Male,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Engineering,Corporate,267,41600,EUR,New hire,N,E3,No,"4 months, 17 days",0
700,Active,30,Female,Master/Postgraduate,11 Jan 2021,,,,01 Apr 2021,Marketing,Content,223,41600,GBP,Contract change,N,E3,No,"4 months, 17 days",0
713,Active,30,Male,Undergraduate degree (Grado),22 Feb 2021,,,,15 Apr 2021,Engineering,Ecosystems,236,41600,EUR,New hire,N,E2,No,"3 months, 6 days",0
726,Active,27,Male,Undergraduate degree (Grado),08 Mar 2021,,,,08 Mar 2021,Customer Success,Customer Support,133,41600,USD,New hire,N,E2,No,"2 months, 20 days",0
301,Active,43,Female,Unknown,13 Aug 2015,,,,01 May 2021,Customer Success,Customer Support,678,41885,EUR,Merit increase,Y,E2,No,"5 years, 9 months, 15 days",5
132,Active,28,Female,Unknown,03 Jul 2017,,,,04 Mar 2021,Customer Success,Community & Learning,558,41958,USD,Merit increase,Y,E2,No,"3 years, 10 months, 25 days",3
213,Inactive,33,Female,Master/Postgraduate,02 May 2016,24 Jan 2021,Voluntary,Ready for the next challenge,01 Sep 2020,Design,Creative Design,277,42000,EUR,Merit increase,Y,E3,No,"4 years, 8 months, 22 days",4
412,Inactive,35,Female,Unknown,17 Oct 2016,14 Sep 2018,Voluntary,Other employment,17 Oct 2016,Engineering,,,42000,EUR,,Y,M1,No,"1 year, 10 months, 28 days",1
201,Inactive,31,Male,Master/Postgraduate,28 May 2018,24 Jan 2020,Involuntary,Low Performance,17 Jun 2019,Engineering,Core,236,42000,EUR,Merit increase,Y,E2,No,"1 year, 7 months, 27 days",1
439,Inactive,44,Male,Unknown,01 Feb 2016,04 Nov 2018,Voluntary,Personal reasons,01 Mar 2018,Marketing,Editorial,,42400,EUR,,Y,M1,No,"2 years, 9 months, 3 days",2
351,Inactive,27,Male,Unknown,23 Jan 2017,23 Aug 2019,Voluntary,Other employment,01 Apr 2019,Design,Product Design,229,42400,EUR,,Y,L3,No,"2 years, 7 months, 0 days",2
266,Active,41,Male,Undergraduate degree (Grado),11 Jun 2019,,,,15 Apr 2021,Customer Success,Customer Support,220,42400,EUR,Merit increase,N,M2,Yes,"1 year, 11 months, 17 days",1
677,Active,30,Male,Undergraduate degree (Grado),08 Feb 2021,,,,15 Apr 2021,Design,Product Design,168,42400,EUR,New hire,N,E3,No,"3 months, 20 days",0
